freq,unit,s_adj,na_item,geo,1975-Q1,1975-Q2,1975-Q3,1975-Q4,1976-Q1,1976-Q2,1976-Q3,1976-Q4,1977-Q1,1977-Q2,1977-Q3,1977-Q4,1978-Q1,1978-Q2,1978-Q3,1978-Q4,1979-Q1,1979-Q2,1979-Q3,1979-Q4,1980-Q1,1980-Q2,1980-Q3,1980-Q4,1981-Q1,1981-Q2,1981-Q3,1981-Q4,1982-Q1,1982-Q2,1982-Q3,1982-Q4,1983-Q1,1983-Q2,1983-Q3,1983-Q4,1984-Q1,1984-Q2,1984-Q3,1984-Q4,1985-Q1,1985-Q2,1985-Q3,1985-Q4,1986-Q1,1986-Q2,1986-Q3,1986-Q4,1987-Q1,1987-Q2,1987-Q3,1987-Q4,1988-Q1,1988-Q2,1988-Q3,1988-Q4,1989-Q1,1989-Q2,1989-Q3,1989-Q4,1990-Q1,1990-Q2,1990-Q3,1990-Q4,1991-Q1,1991-Q2,1991-Q3,1991-Q4,1992-Q1,1992-Q2,1992-Q3,1992-Q4,1993-Q1,1993-Q2,1993-Q3,1993-Q4,1994-Q1,1994-Q2,1994-Q3,1994-Q4,1995-Q1,1995-Q2,1995-Q3,1995-Q4,1996-Q1,1996-Q2,1996-Q3,1996-Q4,1997-Q1,1997-Q2,1997-Q3,1997-Q4,1998-Q1,1998-Q2,1998-Q3,1998-Q4,1999-Q1,1999-Q2,1999-Q3,1999-Q4,2000-Q1,2000-Q2,2000-Q3,2000-Q4,2001-Q1,2001-Q2,2001-Q3,2001-Q4,2002-Q1,2002-Q2,2002-Q3,2002-Q4,2003-Q1,2003-Q2,2003-Q3,2003-Q4,2004-Q1,2004-Q2,2004-Q3,2004-Q4,2005-Q1,2005-Q2,2005-Q3,2005-Q4,2006-Q1,2006-Q2,2006-Q3,2006-Q4,2007-Q1,2007-Q2,2007-Q3,2007-Q4,2008-Q1,2008-Q2,2008-Q3,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2
Q,CLV10_MEUR,CA,B1G,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50146.9,51438.6,47008.4,54277.7,51765.1,53420.5,48491.9,57601.1,55121.5,56393.6,50712.1,59929.0,56486.0,57109.7,51814.9,61047.4,56864.0,59523.5,54143.2,63876.2,59250.0,61877.2,56535.9,66416.1,61849.8,64129.6,58901.9,68883.2,63965.0,68295.4,62544.3,72830.1,66471.9,69176.7,63125.5,72801.6,68081.4,71643.1,64137.5,73750.9,69553.1,72361.0,65668.9,75823.4,71477.1,75408.6,68541.9,79055.3,73092.7,77346.5,70587.1,81141.7,76862.2,81402.1,73878.9,85754.1,79849.7,84433.8,76131.9,88175.1,81500.5,84368.6,75516.8,83070.1,75974.6,79578.8,72020.3,82517.4,77629.6,83771.4,77371.9,88686.7,83198.0,87851.1,80228.6,88175.8,82857.8,87921.2,79659.5,89113.4,83414.6,87894.3,80123.8,91853.2,85610.2,90332.4,81935.6,93989.5,87996.0,94725.0,85114.6,97999.9,90169.1,95537.7,86388.8,99068.1,92830.4,97462.5,88272.4,101235.7,94346.3,99230.5,89595.9,104071.0,96554.9,102425.3,92065.3,107198.3,99272.7,93841.8,90105.9,104828.1,100042.4,104356.2,93971.1,109852.4,102383.2,106406.7,96274.5,109124.7,103818.3,105644.7,97111.3,110123.1,103656.0,106134.4,98127.5,112437.8,104241.4,107534.1
Q,CLV10_MEUR,CA,B1GQ,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57979.9,59496.1,54701.5,63060.6,59691.6,61616.4,56365.8,66705.8,62917.0,64524.4,58567.6,69020.2,64498.4,65233.1,59545.2,70162.4,64967.2,67779.7,61961.5,73297.4,67676.0,70444.1,64775.5,76155.0,70335.9,73107.9,67587.8,78971.0,72619.2,77617.6,71389.4,82231.6,75603.9,78240.7,71807.4,82735.5,76949.5,80921.9,73400.4,84137.4,78795.1,81829.3,74959.5,86188.6,81069.0,85110.0,77938.3,89366.1,82953.9,87368.8,80476.6,91935.4,86513.7,92052.4,84162.0,97024.7,89928.2,95301.4,86554.2,100064.7,91793.0,95602.0,85792.2,94218.4,85953.3,90565.7,82035.0,93698.7,87840.1,95216.6,87892.6,100563.5,93520.2,99131.5,90826.9,99859.2,93230.3,98820.8,90270.8,100901.0,93787.2,99340.7,90783.5,103658.6,95937.2,102057.7,93030.2,105974.7,98668.0,107031.9,96547.3,111062.8,101534.6,108513.9,98226.8,112692.8,104350.1,110561.8,100089.4,115087.4,106165.8,112682.9,101566.7,117807.5,108365.9,115684.8,104271.4,121444.9,111426.9,106844.0,102593.6,119012.5,112141.6,118221.2,106932.4,124913.2,114673.5,120562.2,109164.3,123675.0,115574.0,119210.5,109400.6,124109.1,115433.1,119536.1,110572.7,126648.8,116089.2,121263.2
Q,CLV10_MEUR,CA,D21,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8287.3,8510.6,8155.3,9243.0,8368.3,8639.4,8332.0,9555.5,8214.1,8565.4,8309.0,9545.9,8450.0,8572.6,8198.4,9599.2,8572.5,8690.2,8283.1,9914.5,8869.1,8993.2,8699.6,10221.7,8903.1,9397.6,9230.4,10595.2,9129.4,9791.8,9337.2,9931.0,9619.3,9540.1,9142.3,10487.4,9350.6,9704.8,9808.5,10974.3,9697.6,9940.2,9897.6,11020.4,10166.7,10223.7,9929.7,10958.1,10439.7,10490.0,10385.6,11388.2,10190.0,11115.4,10796.4,11931.3,10620.4,11321.4,10937.1,12556.4,10869.1,11788.3,10826.0,11741.7,10592.4,11574.2,10578.2,11804.7,10874.6,12053.2,11090.2,12465.3,11031.6,11890.9,11191.1,12301.1,11032.2,11504.6,11218.8,12431.4,10916.9,11960.3,11152.1,12383.0,10926.5,12298.3,11648.4,12599.9,11342.5,12926.5,12056.8,13722.3,12033.6,13606.1,12468.9,14297.5,12244.0,13756.9,12474.5,14547.4,12469.0,14114.9,12650.3,14469.1,12511.2,13890.2,12838.0,14899.2,12889.2,13657.0,13141.7,14850.9,12741.6,14530.1,13672.8,15697.2,12998.3,14873.1,13598.0,15259.3,12374.1,14210.9,12903.8,14670.0,12364.1,14045.3,13092.8,14855.8,12380.5,14358.9
Q,CLV10_MEUR,CA,D21X31,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7911.4,8139.1,7784.2,8883.1,7999.6,8272.0,7964.8,9200.1,7840.9,8185.0,7931.4,9171.5,8052.9,8166.1,7794.4,9191.0,8141.6,8274.0,7865.1,9495.9,8464.7,8585.4,8295.4,9810.0,8500.9,9008.9,8751.5,10158.4,8658.1,9333.5,8882.3,9366.5,9146.4,9046.3,8696.2,9944.5,8847.3,9253.3,9309.4,10420.6,9236.1,9452.7,9321.4,10377.4,9592.6,9677.8,9408.5,10294.2,9862.5,10004.4,9907.8,10788.1,9631.6,10641.0,10291.8,11262.3,10060.5,10853.6,10425.5,11888.7,10273.6,11229.0,10277.4,11146.2,9972.1,10987.2,10015.9,11178.8,10204.8,11443.6,10518.8,11872.6,10319.1,11276.8,10594.9,11679.4,10370.1,10897.4,10607.0,11783.0,10367.1,11443.6,10658.5,11801.6,10318.8,11722.2,11095.0,11980.7,10658.7,12304.8,11436.5,13065.7,11355.5,12987.4,11850.5,13640.2,11506.0,13107.4,11823.3,13865.6,11814.1,13460.3,11975.6,13739.9,11808.4,13261.1,12209.2,14250.5,12146.7,13014.6,12499.7,14193.8,12057.7,13869.6,12983.9,15083.7,12260.1,14159.4,12895.4,14555.2,11725.7,13558.7,12280.2,13976.4,11713.2,13400.8,12447.0,14210.7,11783.7,13735.4
Q,CLV10_MEUR,CA,D31,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.6,367.7,366.0,360.2,364.6,364.4,363.1,357.2,372.0,378.8,376.3,370.8,393.7,402.9,399.7,406.5,427.2,412.8,414.5,415.6,400.5,403.9,400.7,405.9,398.3,383.8,476.1,431.2,471.4,455.2,453.1,568.0,470.9,494.2,443.8,543.2,503.7,448.9,498.3,552.7,459.8,486.0,577.1,644.1,573.1,545.5,520.9,662.1,576.7,488.6,481.0,600.7,564.3,467.8,502.3,677.3,563.7,460.2,509.5,672.5,597.5,558.5,549.0,596.0,618.5,587.6,562.2,625.8,666.9,610.2,571.7,594.5,712.5,613.9,596.2,621.6,664.2,606.1,611.6,646.9,547.6,510.9,488.7,577.2,606.5,571.8,549.5,615.5,683.9,617.6,617.6,652.2,678.0,611.9,614.5,650.6,742.4,643.2,649.3,674.8,654.2,643.1,675.4,724.7,705.4,618.4,623.2,635.0,745.1,634.3,635.9,645.0,685.6,647.3,684.9,586.6,753.3,705.9,705.0,690.8,653.6,635.4,616.2,681.4,655.7,628.5,641.1,619.9,589.2,599.2
Q,CLV10_MEUR,CA,P3,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48441.1,49542.0,45677.2,52183.9,48672.2,50181.4,46410.7,52706.6,49147.8,50498.3,47279.6,53835.9,50025.8,51763.2,48309.1,55016.8,51452.4,53327.0,50112.5,57061.7,53376.8,54930.5,51360.9,59218.5,55552.4,57432.7,53671.6,60294.1,56321.0,57756.5,53708.5,60642.2,57532.5,59089.0,54740.2,62120.5,58034.2,59728.8,55624.9,63039.4,59084.0,60562.7,56174.3,63622.3,59816.0,61880.2,57772.4,65177.0,60946.2,63591.5,59161.7,67311.2,62766.7,65631.1,61249.9,69390.7,64184.9,66493.7,60865.9,67946.4,64478.6,67247.7,62083.2,69922.3,66269.1,69173.7,64023.4,71846.7,67465.6,70728.1,64740.7,72412.1,68213.8,71222.9,65847.8,73845.1,69381.7,72403.9,66967.5,75467.9,70600.8,74294.8,68372.2,77685.6,73126.3,76410.0,70648.1,80304.9,75222.9,78656.1,72347.1,81803.4,76987.8,79946.7,73627.0,83240.7,77782.0,81667.7,74772.2,84472.4,78277.5,81520.4,75650.8,84903.3,78953.8,76483.0,73714.4,82653.6,78258.7,82654.0,77945.9,87662.6,81043.9,85542.6,78702.1,87817.1,80853.4,84664.9,77794.1,88202.4,81903.7,84835.5,78725.9,88772.6,82382.7,85977.8
Q,CLV10_MEUR,CA,P31_S13,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15056.3,14818.0,12189.8,15523.1,15411.9,15030.3,12570.0,16043.3,15472.8,15023.7,12823.3,16574.9,15148.0,14882.8,12999.4,16170.5,15805.4,15274.6,13557.4,16871.7,16137.8,15609.5,13614.9,16799.2,15992.2,15472.0,13332.7,16670.1,16366.3,15777.0,13435.6,17171.3,16801.5,16240.3,13770.5,17423.1,16922.5,16383.3,13881.6,17423.4,16825.6,16275.1,13610.7,17083.8,16881.3,16405.2,13726.4,17340.0,17054.8,16611.0,14054.4,17824.9,17133.4,16736.7,14112.4,17954.3,17365.7,16811.1,14268.9,18004.7,17848.3,17149.1,14548.6,18439.9,17814.4,17274.9,14701.9,18706.0,17874.8,17378.2,14879.0,18690.5,17877.8,17501.1,15054.4,18885.8,18076.6,17591.4,15157.7,19142.6,18149.1,17795.3,15460.0,19503.4,18630.9,18163.3,15795.8,20033.0,19268.5,19236.3,16517.9,20746.8,19272.2,19116.1,16608.2,20894.4,19255.0,19235.0,16501.0,20856.2,19479.1,19110.1,16480.4,20748.2,19104.1,18223.9,16201.2,20308.0,19439.7,19399.9,16808.4,20638.2,19431.9,19092.3,16760.6,20908.8,19686.8,19140.5,16615.7,20957.9,19852.6,19300.6,16773.7,21039.3,19906.9,19334.8
Q,CLV10_MEUR,CA,P31_S14,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27177.1,27940.5,27421.9,30055.7,27364.6,28530.8,27951.5,30332.1,27868.3,29150.6,28685.7,31071.3,28880.5,30448.5,29254.3,32147.9,29576.2,31399.2,30403.3,33425.3,30912.0,32533.7,31610.9,35477.0,32907.6,34811.8,33690.6,36382.3,33593.7,35035.5,33904.8,36374.7,34228.2,35746.5,34605.8,37339.2,34437.2,36112.2,35326.9,38174.7,35568.5,37038.2,36295.7,39106.0,36171.5,38198.0,37834.4,40410.4,37084.3,39614.2,38690.8,41839.7,38760.9,41319.6,40772.5,43637.9,39876.6,42062.3,40200.2,42090.1,39397.8,42441.5,41051.0,43365.8,41234.7,43962.7,42722.7,44975.4,42336.8,45381.1,43252.3,45454.5,42876.4,45591.6,43915.8,46390.1,43550.0,46418.7,44866.6,47529.0,44652.0,47990.6,45854.5,49086.8,46618.3,49806.1,47807.4,51035.0,48024.8,50716.6,48813.8,51909.1,49683.4,52057.2,49775.1,52940.3,50326.6,53571.0,50811.9,53871.8,50331.5,53645.0,51788.6,54472.6,51566.5,49346.8,50159.2,52515.0,50120.7,54157.8,53771.1,57044.7,52915.9,57506.2,54273.2,56637.8,52032.2,55837.0,53268.6,56475.2,52478.8,55796.2,53782.0,56843.9,52783.0,56750.1
Q,CLV10_MEUR,CA,P31_S14_S15,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27956.5,28953.9,28233.4,30990.9,28068.9,29586.9,28668.6,31133.4,28622.5,30066.6,29471.8,31932.4,29656.2,31400.5,30058.4,33028.5,30350.6,32347.9,31226.7,34322.1,31651.6,33416.7,32381.3,36321.0,33876.6,35955.0,34671.3,37484.6,34571.1,36225.1,34901.0,37501.3,35242.2,36981.0,35647.3,38505.7,35518.3,37411.9,36426.9,39403.7,36652.8,38333.4,37390.7,40331.6,37286.0,39545.1,38969.9,41724.5,38209.8,40981.5,39841.9,43142.7,39897.3,42688.3,41927.7,44922.4,41033.6,43446.1,41364.0,43399.5,40522.3,43803.1,42178.5,44620.0,42353.2,45329.6,43859.1,46214.6,43399.1,46670.4,44333.6,46656.4,43939.0,46873.1,44992.5,47562.7,44557.2,47613.0,45897.1,48643.6,45726.6,49241.6,46958.4,50282.2,47728.6,51101.5,48949.3,52271.9,49106.9,51989.8,49938.3,53135.1,50858.4,53404.0,50977.7,54253.0,51479.4,54896.1,52012.1,55149.3,51496.6,54991.6,52990.8,55751.0,52780.8,50649.3,51348.1,53796.2,51319.7,55546.2,55016.1,58368.2,54104.6,58861.1,55493.4,57923.4,53239.2,57276.7,54535.0,57901.5,53746.9,57243.0,55058.8,58283.3,54049.2,58230.5
Q,CLV10_MEUR,CA,P31_S15,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770.8,1092.5,813.2,955.3,669.2,1137.6,682.7,770.9,733.2,938.7,768.5,846.6,758.5,967.1,788.9,864.2,751.3,954.9,805.4,875.1,702.8,865.2,734.8,799.2,962.5,1159.2,973.3,1101.6,971.2,1206.2,992.3,1129.7,1011.7,1252.2,1040.4,1171.0,1085.8,1320.4,1103.3,1236.9,1085.3,1313.3,1094.7,1229.8,1118.1,1363.3,1136.1,1322.6,1127.7,1380.9,1153.1,1307.8,1137.5,1378.1,1155.5,1287.0,1158.7,1391.3,1164.8,1314.5,1126.7,1367.5,1128.2,1256.4,1121.2,1370.1,1138.4,1241.4,1064.5,1292.1,1083.5,1204.1,1064.9,1283.7,1080.9,1176.5,1013.5,1197.4,1036.4,1121.3,1079.7,1251.4,1108.4,1200.5,1116.5,1295.3,1147.2,1241.3,1093.8,1273.7,1132.9,1232.5,1180.6,1346.7,1208.4,1315.3,1162.9,1328.6,1208.6,1285.8,1174.9,1347.8,1211.8,1288.1,1222.4,1296.7,1195.8,1284.7,1205.7,1385.3,1255.7,1334.1,1203.8,1364.6,1235.6,1299.9,1216.8,1435.7,1274.7,1424.6,1273.4,1441.6,1284.6,1438.4,1273.1,1474.7
