TIME_PERIOD,gdp_quarterly,gdp,inflation_rate_anually,education_attainment,gdp_per_capita,gdp_growth_rate,price_index,energy_prices,inflation_rate_monthly_m,inflation_rate_monthly_y,gas_emissions,household_income_q1,household_income_q2,household_income_q3,net_migration,total_population,net_population_growth,growth_rate,births,deaths,total_unemployment_rate,adult_unemployment_rate,youth_unemployment_rate
2000-01-01,73892.1,303735.8,,,34240.0,,78.83,,,,49.47555,,,,24386.0,8872109.0,21366.0,2.4,90441.0,93461.0,6.2,5.6,10.4
2000-02-01,,,,,,,79.2,,,,,,,,,,,,,,6.1,5.5,10.7
2000-03-01,,,,,,,79.59,,,,,,,,,,,,,,5.9,5.3,10.5
2000-04-01,76068.8,,,,,,79.49,,,,,,,,,,,,,,5.9,5.1,11.6
2000-05-01,,,,,,,79.96,,,,,,,,,,,,,,5.6,5.1,9.6
2000-06-01,,,,,,,79.93,,,,,,,,,,,,,,5.8,5.0,12.0
2000-07-01,76829.7,,,,,,79.47,,,,,,,,,,,,,,5.6,4.9,10.8
2000-08-01,,,,,,,79.52,,,,,,,,,,,,,,5.5,4.9,10.7
2000-09-01,,,,,,,80.2,,,,,,,,,,,,,,5.2,4.7,9.6
2000-10-01,76928.9,,,,,,80.39,,,,,,,,,,,,,,5.2,4.6,9.9
2000-11-01,,,,,,,80.45,,,,,,,,,,,,,,5.2,4.5,10.5
2000-12-01,,,,,,,80.31,,,,,,,,,,,,,,4.9,4.3,9.8
2001-01-01,76911.5,307869.0,,,34600.0,,80.06,,0.9,,50.25387,,,,28622.0,8895960.0,26336.0,3.0,91466.0,93752.0,6.1,4.9,14.4
2001-02-01,,,,,,,80.35,,0.2,,,,,,,,,,,,6.0,4.9,13.7
2001-03-01,,,,,,,81.02,,0.1,,,,,,,,,,,,5.9,4.8,13.8
2001-04-01,76611.4,,,,,,81.8,,0.6,,,,,,,,,,,,5.8,4.7,13.5
2001-05-01,,,,,,,82.45,,0.2,,,,,,,,,,,,5.9,4.9,13.1
2001-06-01,,,,,,,82.28,,0.0,,,,,,,,,,,,5.9,5.0,12.3
2001-07-01,77254.3,,,,,,81.73,,0.2,,,,,,,,,,,,6.0,5.0,14.0
2001-08-01,,,,,,,81.94,,0.1,,,,,,,,,,,,6.0,4.7,15.3
2001-09-01,,,,,,,82.93,,0.2,,,,,,,,,,,,6.0,4.8,15.0
2001-10-01,77599.0,,,,,,82.78,,-0.3,,,,,,,,,,,,6.3,5.0,16.1
2001-11-01,,,,,,,82.79,,0.1,,,,,,,,,,,,5.9,4.8,14.2
2001-12-01,,,,,,,82.87,,0.0,2.3,,,,,,,,,,,6.0,4.6,16.2
2002-01-01,78214.3,314881.4,,,35270.0,,82.35,,-0.5,0.9,50.92108,,,,30854.0,8924958.0,31660.0,3.5,95815.0,95009.0,5.9,4.6,15.5
2002-02-01,,,,,,,82.58,,0.1,0.9,,,,,,,,,,,5.9,4.6,16.0
2002-03-01,,,,,,,83.36,,0.2,0.9,,,,,,,,,,,6.0,4.6,15.7
2002-04-01,79095.9,,,,,,83.65,,0.5,0.8,,,,,,,,,,,6.1,4.8,15.8
2002-05-01,,,,,,,83.81,,0.3,1.0,,,,,,,,,,,5.9,4.7,15.7
2002-06-01,,,,,,,83.65,,0.1,1.0,,,,,,,,,,,5.8,4.8,13.3
2002-07-01,78947.7,,,,,,83.14,,-0.9,-0.1,,,,,,,,,,,6.2,5.0,15.3
2002-08-01,,,,,,,83.23,,0.1,-0.1,,,,,,,,,,,6.0,4.7,16.3
2002-09-01,,,,,,,83.89,,0.2,-0.2,,,,,,,,,,,6.3,5.1,15.7
2002-10-01,79092.3,,,,,,84.19,,0.0,0.1,,,,,,,,,,,6.2,4.8,16.4
2002-11-01,,,,,,,83.96,,0.1,0.1,,,,,,,,,,,6.3,5.0,16.4
2002-12-01,,,,,,,84.25,,0.1,0.2,,,,,,,,,,,6.4,5.1,16.2
2003-01-01,80050.6,320804.5,,,35810.0,,84.51,,0.9,1.7,51.85706,,,,28686.0,8958229.0,34882.0,3.9,99157.0,92961.0,6.5,5.0,17.2
2003-02-01,,,,,,,85.34,,0.1,1.7,,,,,,,,,,,6.1,5.0,14.8
2003-03-01,,,,,,,85.83,,0.0,1.5,,,,,,,,,,,6.5,5.3,15.2
2003-04-01,79916.2,,,,,,85.57,,0.8,1.8,,,,,,,,,,,6.5,5.3,15.4
2003-05-01,,,,,,,85.44,,0.1,1.6,,,,,,,,,,,6.4,5.3,15.1
2003-06-01,,,,,,,85.32,,0.0,1.5,,,,,,,,,,,6.5,5.2,16.8
2003-07-01,80576.6,,,,,,85.13,,0.3,2.8,,,,,,,,,,,6.6,5.3,16.8
2003-08-01,,,,,,,85.11,,0.0,2.8,,,,,,,,,,,7.0,5.7,17.1
2003-09-01,,,,,,,85.8,,0.0,2.6,,,,,,,,,,,6.7,5.4,16.6
2003-10-01,81124.2,,,,,,85.84,,0.1,2.7,,,,,,,,,,,7.0,5.7,17.2
2003-11-01,,,,,,,85.64,,0.3,2.9,,,,,,,,,,,7.4,5.9,19.5
2003-12-01,,,,,,,85.77,,0.0,2.8,,,,,,,,,,,7.2,5.8,18.3
2004-01-01,82416.1,334212.7,,,37160.0,,85.56,,2.0,4.0,50.63054,13211.0,17329.0,22286.0,25326.0,8993531.0,35722.0,4.0,100928.0,90532.0,7.0,5.6,18.1
2004-02-01,,,,,,,85.43,,0.0,3.8,,,,,,,,,,,7.6,5.9,20.3
2004-03-01,,,,,,,86.2,,0.7,4.6,,,,,,,,,,,7.6,6.0,19.5
2004-04-01,83030.2,,,,,,86.42,,0.7,4.4,,,,,,,,,,,7.3,5.8,18.5
2004-05-01,,,,,,,86.73,,0.1,4.5,,,,,,,,,,,7.8,6.1,20.3
2004-06-01,,,,,,,86.29,,0.0,4.4,,,,,,,,,,,7.6,6.0,20.7
2004-07-01,83706.4,,,,,,86.16,,0.1,4.2,,,,,,,,,,,7.3,5.8,19.0
2004-08-01,,,,,,,86.05,,0.0,4.2,,,,,,,,,,,7.4,6.0,18.5
2004-09-01,,,,,,,86.75,,0.0,4.2,,,,,,,,,,,8.0,6.2,21.3
2004-10-01,84148.3,,,,,,87.09,,0.1,4.2,,,,,,,,,,,7.3,5.6,19.1
2004-11-01,,,,,,,86.55,,0.0,3.9,,,,,,,,,,,7.7,5.9,21.4
2004-12-01,,,,,,,86.55,,0.0,3.9,,,,,,,,,,,7.6,5.9,21.1
2005-01-01,84454.5,343547.8,,,38060.0,,86.02,,1.2,3.0,48.15578,13677.0,17498.0,22678.0,26724.0,9029572.0,36360.0,4.0,101346.0,91710.0,7.9,6.4,19.8
2005-02-01,,,,,,,86.46,,0.0,3.0,,,,,,,,,,,8.3,6.5,21.9
2005-03-01,,,,,,,86.68,,0.1,2.4,,,,,,,,,,,7.5,5.7,21.6
2005-04-01,85154.2,,,,,,86.83,,0.5,2.2,,,,,,,,,,,7.7,5.8,22.4
2005-05-01,,,,,,,86.93,,0.0,2.1,,,,,,,,,,,8.1,6.0,23.0
