freq,age,unit,sex,geo,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,Y15-74,PC_ACT,T,AT,5.7,6.0,6.1,6.5,5.9,5.2,4.8,6.0,6.2,4.8,5.1,5.2
A,Y15-74,PC_ACT,T,BA,,,,,,,,,17.4,15.4,13.2,12.6
A,Y15-74,PC_ACT,T,BE,8.6,8.7,8.7,7.9,7.2,6.0,5.5,5.8,6.3,5.6,5.5,5.7
A,Y15-74,PC_ACT,T,BG,13.9,12.4,10.1,8.6,7.2,6.2,5.2,6.1,5.2,4.2,4.3,4.2
A,Y15-74,PC_ACT,T,CH,4.8,4.9,4.8,5.0,4.8,4.7,4.4,4.8,5.1,4.1,4.1,4.4
A,Y15-74,PC_ACT,T,CY,15.9,16.1,15.0,13.0,11.1,8.4,7.2,7.6,7.2,6.3,5.8,4.9
A,Y15-74,PC_ACT,T,CZ,7.0,6.1,5.1,4.0,2.9,2.2,2.0,2.6,2.8,2.2,2.6,2.6
A,Y15-74,PC_ACT,T,DE,4.9,4.7,4.4,3.9,3.5,3.2,2.9,3.6,3.6,3.1,3.1,3.4
A,Y15-74,PC_ACT,T,DK,7.4,6.9,6.3,6.0,5.8,5.1,5.0,5.6,5.1,4.5,5.1,6.2
A,Y15-74,PC_ACT,T,EA20,12.2,11.7,11.0,10.1,9.1,8.2,7.6,8.0,7.8,6.8,6.6,6.4
A,Y15-74,PC_ACT,T,EE,8.6,7.3,6.4,6.8,5.8,5.4,4.5,6.9,6.2,5.6,6.4,7.6
A,Y15-74,PC_ACT,T,EL,27.8,26.6,25.0,23.9,21.8,19.7,17.9,17.6,14.7,12.5,11.1,10.1
A,Y15-74,PC_ACT,T,ES,26.1,24.5,22.1,19.6,17.2,15.3,14.1,15.5,14.9,13.0,12.2,11.4
A,Y15-74,PC_ACT,T,EU27_2020,11.6,11.0,10.2,9.3,8.3,7.4,6.8,7.2,7.1,6.2,6.1,5.9
