freq,indic_de,geo,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A,AVG,SE,7484656.0,7519998.0,7561588.0,7604328.0,7661354.0,7733853.0,7807797.0,7867931.0,7912273.0,7968072.0,8042801.0,8098334.0,8122300.0,8136312.0,8159955.0,8192437.0,8222286.0,8251540.0,8275599.0,8293678.0,8310531.0,8320503.0,8325263.0,8329033.0,8336605.0,8350386.0,8369829.0,8397804.0,8436489.0,8492964.0,8558835.0,8617375.0,8668067.0,8718561.0,8780745.0,8826939.0,8840998.0,8846062.0,8850974.0,8857874.0,8872109.0,8895960.0,8924958.0,8958229.0,8993531.0,9029572.0,9080505.0,9148092.0,9219637.0,9298515.0,9378126.0,9449213.0,9519374.0,9600379.0,9696110.0,9799186.0,9923085.0,10057698.0,10175214.0,10278887.0,10353442.0,10415811.0,10486941.0,10536632.0,10569709.0,
A,CNMIGRAT,SE,-504.0,13115.0,8627.0,9916.0,21690.0,32694.0,25668.0,8109.0,8375.0,48315.0,46726.0,2458.0,-14494.0,-9721.0,9426.0,16556.0,20049.0,22935.0,13784.0,13652.0,9606.0,3040.0,2372.0,2099.0,8649.0,11075.0,14725.0,21178.0,29462.0,44238.0,34814.0,24955.0,19755.0,32106.0,50859.0,11648.0,5839.0,5950.0,10940.0,13657.0,24386.0,28622.0,30854.0,28686.0,25326.0,26724.0,50769.0,53978.0,55568.0,62614.0,49734.0,45453.0,51799.0,65780.0,76560.0,79699.0,117693.0,101645.0,86296.0,71647.0,36753.0,50726.0,59233.0,24485.0,28820.0,
A,CNMIGRATRT,SE,-0.1,1.7,1.1,1.3,2.8,4.2,3.3,1.0,1.1,6.1,5.8,0.3,-1.8,-1.2,1.2,2.0,2.4,2.8,1.7,1.6,1.2,0.4,0.3,0.3,1.0,1.3,1.8,2.5,3.5,5.2,4.1,2.9,2.3,3.7,5.8,1.3,0.7,0.7,1.2,1.5,2.7,3.2,3.5,3.2,2.8,3.0,5.6,5.9,6.0,6.7,5.3,4.8,5.4,6.9,7.9,8.1,11.9,10.1,8.5,7.0,3.5,4.9,5.6,2.3,2.7,
A,DEATH,SE,75093.0,73555.0,76791.0,76460.0,76661.0,78194.0,78440.0,79783.0,82464.0,83338.0,80016.0,82734.0,84056.0,85640.0,86316.0,88208.0,90677.0,88200.0,89681.0,91074.0,91797.0,92034.0,90670.0,90790.0,90482.0,94032.0,93295.0,93307.0,96743.0,92110.0,95161.0,95202.0,94710.0,97008.0,91844.0,93955.0,94133.0,93326.0,93271.0,94726.0,93461.0,93752.0,95009.0,92961.0,90532.0,91710.0,91177.0,91729.0,91449.0,90080.0,90487.0,89938.0,91938.0,90402.0,88976.0,90907.0,90982.0,91972.0,92185.0,88766.0,98124.0,91958.0,94737.0,94385.0,91268.0,
A,FAVG,SE,3750712.0,3768418.0,3788942.0,3810352.0,3838056.0,3872168.0,3906976.0,3937235.0,3961440.0,3990065.0,4026613.0,4056080.0,4072283.0,4083656.0,4099124.0,4117967.0,4135374.0,4152995.0,4168614.0,4181177.0,4192831.0,4201270.0,4207270.0,4212283.0,4218258.0,4226554.0,4237517.0,4252754.0,4272256.0,4298983.0,4330786.0,4360055.0,4385463.0,4410792.0,4442141.0,4465776.0,4473104.0,4475247.0,4477208.0,4480006.0,4485674.0,4495361.0,4507182.0,4521348.0,4537048.0,4553142.0,4575468.0,4604370.0,4635822.0,4672153.0,4708497.0,4740674.0,4773005.0,4810248.0,4852811.0,4897583.0,4950929.0,5009693.0,5062664.0,5109761.0,5144112.0,5174034.0,5207426.0,5231210.0,,
A,FDEATH,SE,,,,,,,,,38264.0,38299.0,36607.0,37173.0,38046.0,38513.0,38784.0,39881.0,41044.0,39537.0,40411.0,41121.0,41975.0,42305.0,41654.0,41803.0,41977.0,43988.0,43744.0,43969.0,46326.0,44265.0,46107.0,46058.0,46256.0,47961.0,45259.0,46354.0,47015.0,46616.0,46652.0,48147.0,47786.0,48321.0,49229.0,47623.0,46618.0,46922.0,47000.0,47759.0,47389.0,46388.0,46587.0,46344.0,47653.0,46742.0,45594.0,46422.0,46561.0,47116.0,46769.0,44740.0,48743.0,45474.0,47235.0,46905.0,,
A,FJAN,SE,3743575.0,3757848.0,3778988.0,3798896.0,3821808.0,3854303.0,3890033.0,3923918.0,3950551.0,3972328.0,4007802.0,4045424.0,4066735.0,4077830.0,4089481.0,4108766.0,4127168.0,4143580.0,4162409.0,4174819.0,4187535.0,4198127.0,4204412.0,4210128.0,4214437.0,4222078.0,4231029.0,4244004.0,4261503.0,4283008.0,4314958.0,4346613.0,4373497.0,4397428.0,4424155.0,4460127.0,4471425.0,4474782.0,4475712.0,4478703.0,4481308.0,4490039.0,4500683.0,4513681.0,4529014.0,4545081.0,4561202.0,4589734.0,4619006.0,4652637.0,4691668.0,4725326.0,4756021.0,4789988.0,4830507.0,4875115.0,4920051.0,4981806.0,5037580.0,5087747.0,5131775.0,5156448.0,5191619.0,5223232.0,5239188.0,
A,FLBIRTH,SE,,,,,,,,,,,,,,,,,,,45400.0,,,,,44500.0,45500.0,47700.0,49600.0,51100.0,54300.0,56300.0,60400.0,60000.0,59700.0,57700.0,54900.0,50200.0,46600.0,44000.0,43100.0,42900.0,43800.0,44300.0,46600.0,48000.0,48953.0,49310.0,51430.0,52162.0,52949.0,54237.0,56256.0,54565.0,55006.0,55121.0,55809.0,55368.0,57226.0,56160.0,56298.0,55521.0,54822.0,55778.0,50858.0,48802.0,,
A,GBIRTHRT,SE,13.7,13.9,14.2,14.8,16.0,15.9,15.8,15.4,14.3,13.5,13.7,14.1,13.8,13.5,13.5,12.6,12.0,11.6,11.3,11.6,11.7,11.3,11.1,11.0,11.3,11.8,12.2,12.5,13.3,13.7,14.5,14.4,14.2,13.5,12.8,11.7,10.8,10.2,10.1,10.0,10.2,10.3,10.7,11.1,11.2,11.2,11.7,11.7,11.9,12.0,12.3,11.8,11.9,11.8,11.9,11.7,11.8,11.5,11.4,11.1,10.9,11.0,10.0,9.5,9.3,
A,GDEATHRT,SE,10.0,9.8,10.2,10.1,10.0,10.1,10.0,10.1,10.4,10.5,9.9,10.2,10.3,10.5,10.6,10.8,11.0,10.7,10.8,11.0,11.0,11.1,10.9,10.9,10.9,11.3,11.1,11.1,11.5,10.8,11.1,11.0,10.9,11.1,10.5,10.6,10.6,10.6,10.5,10.7,10.5,10.5,10.6,10.4,10.1,10.2,10.0,10.0,9.9,9.7,9.6,9.5,9.7,9.4,9.2,9.3,9.2,9.1,9.1,8.6,9.5,8.8,9.0,9.0,8.6,
