freq,unit,isced11,age,sex,geo,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,PC,ED5-8,Y25-64,F,AT11,14.4,24.8,26.7,27.1,28.3,28.4,30.5,32.4,31.3,31.9,34.1,35.5
A,PC,ED5-8,Y25-64,F,AT12,15.5,27.7,28.1,28.7,31.1,30.3,31.9,33.2,33.8,33.4,36.2,38.7
A,PC,ED5-8,Y25-64,F,AT13,30.7,40.3,39.3,41.2,43.6,43.4,44.9,44.7,46.1,47.1,47.5,49.4
A,PC,ED5-8,Y25-64,F,AT21,17.0,29.5,28.2,28.3,30.2,30.6,32.0,32.8,34.7,34.1,34.4,36.7
A,PC,ED5-8,Y25-64,F,AT22,15.5,24.5,24.4,27.0,27.8,27.8,29.2,31.6,30.2,31.5,33.9,33.8
A,PC,ED5-8,Y25-64,F,AT31,14.0,23.1,25.5,27.4,26.7,26.0,29.3,28.2,29.0,31.2,32.2,31.8
A,PC,ED5-8,Y25-64,F,AT32,19.4,27.9,29.3,29.0,28.1,31.6,32.4,32.1,32.9,33.0,36.5,34.6
A,PC,ED5-8,Y25-64,F,AT33,17.2,23.8,24.6,26.4,28.2,28.2,28.0,29.8,31.4,31.2,32.3,34.5
A,PC,ED5-8,Y25-64,F,AT34,14.5,21.4,24.2,25.6,26.5,25.3,25.5,26.7,26.8,28.1,28.3,30.2
A,PC,ED5-8,Y25-64,F,BE10,43.4,45.0,44.7,46.3,47.7,49.1,49.4,51.2,54.0,55.5,55.4,54.4
A,PC,ED5-8,Y25-64,F,BE21,38.1,40.9,40.4,37.7,40.6,43.3,44.2,45.4,47.7,52.3,51.4,51.7
A,PC,ED5-8,Y25-64,F,BE22,31.7,35.6,36.6,36.5,39.0,40.7,42.4,43.1,43.4,48.0,48.3,43.7
A,PC,ED5-8,Y25-64,F,BE23,40.4,39.1,41.4,43.6,46.9,46.8,45.6,48.9,55.3,54.1,51.2,52.3
A,PC,ED5-8,Y25-64,F,BE24,47.1,49.1,47.2,50.9,53.5,52.5,53.4,54.8,58.0,56.1,54.0,54.0
A,PC,ED5-8,Y25-64,F,BE25,35.3,36.1,36.2,39.4,42.0,42.2,41.9,43.3,43.2,43.6,43.2,43.0
A,PC,ED5-8,Y25-64,F,BE31,54.8,55.2,58.9,55.0,61.9,63.9,58.4,64.0,66.3,66.7,67.2,67.1
A,PC,ED5-8,Y25-64,F,BE32,30.6,31.2,31.2,32.6,34.7,35.1,36.5,38.3,39.8,39.6,40.6,40.7
A,PC,ED5-8,Y25-64,F,BE33,34.6,36.0,36.0,37.2,39.6,38.4,41.9,44.6,47.2,46.3,43.0,43.7
A,PC,ED5-8,Y25-64,F,BE34,35.7,39.9,41.2,39.2,40.7,42.7,45.5,47.9,49.1,46.5,45.1,46.7
A,PC,ED5-8,Y25-64,F,BE35,36.1,40.9,39.9,38.2,44.7,43.9,41.6,46.8,47.2,47.1,50.1,49.7
A,PC,ED5-8,Y25-64,F,BG31,24.6,26.4,27.7,25.0,25.8,26.7,25.4,26.9,24.7,23.3,26.4,32.7
A,PC,ED5-8,Y25-64,F,BG32,26.6,27.6,28.7,29.9,28.1,31.7,32.0,32.2,33.0,32.1,32.6,36.9
