freq,unit,airpol,src_crf,geo,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,MIO_T,CH4,CRF1,SE,0.01694,0.01792,0.01764,0.01705,0.01741,0.01714,0.01759,0.01647,0.01622,0.01532,0.0145,0.01469,0.01426,0.01347,0.01379,0.01337,0.01322,0.01295,0.01226,0.01237,0.01246,0.01164,0.01111,0.01069,0.00988,0.00955,0.00994,0.0096,0.00968,0.00937,0.00943,0.0103,0.0092,0.00859
A,MIO_T,CH4,CRF1A,SE,0.0126,0.01309,0.01276,0.01212,0.01242,0.01226,0.0124,0.01139,0.011,0.01022,0.00957,0.00948,0.00923,0.00909,0.00891,0.00879,0.0088,0.00836,0.00825,0.00823,0.00834,0.00783,0.00726,0.00715,0.0067,0.00659,0.00682,0.00672,0.00635,0.00675,0.00671,0.00773,0.00703,0.00648
A,MIO_T,CH4,CRF1A1,SE,0.00045,0.00053,0.00054,0.00065,0.00075,0.00082,0.00109,0.00092,0.00099,0.00099,0.00096,0.00115,0.00122,0.00132,0.00137,0.00149,0.00152,0.00155,0.0017,0.00182,0.00206,0.00179,0.00183,0.00183,0.00166,0.00169,0.00182,0.00183,0.00183,0.00181,0.00162,0.00233,0.00233,0.00221
A,MIO_T,CH4,CRF1A1A,SE,0.00041,0.0005,0.0005,0.00062,0.00071,0.00078,0.00105,0.00088,0.00096,0.00095,0.00092,0.00111,0.00118,0.00128,0.00133,0.00145,0.00148,0.00151,0.00166,0.00178,0.00201,0.00175,0.00179,0.00179,0.00162,0.00165,0.00178,0.00179,0.00179,0.00178,0.00158,0.00193,0.00185,0.00181
A,MIO_T,CH4,CRF1A1B,SE,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,4e-05,3e-05,3e-05,4e-05,4e-05,4e-05,3e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,3e-05,4e-05,3e-05,3e-05,3e-05,3e-05,0.0,0.00039,0.0,0.0
A,MIO_T,CH4,CRF1A1C,SE,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,MIO_T,CH4,CRF1A2,SE,0.0009,0.00091,0.001,0.00101,0.00112,0.00109,0.00106,0.00102,0.00102,0.00097,0.00084,0.00106,0.00093,0.00085,0.00085,0.00085,0.00094,0.0009,0.0009,0.00088,0.00094,0.00089,0.00089,0.0009,0.00085,0.00087,0.00089,0.00089,0.00087,0.00088,0.00083,0.00084,0.00083,0.0008
A,MIO_T,CH4,CRF1A2A,SE,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,1e-05,2e-05,1e-05,1e-05,0.0,1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
A,MIO_T,CH4,CRF1A2B,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,MIO_T,CH4,CRF1A2C,SE,2e-05,2e-05,2e-05,2e-05,2e-05,3e-05,3e-05,3e-05,3e-05,3e-05,2e-05,5e-05,3e-05,3e-05,4e-05,4e-05,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,2e-05,2e-05,1e-05,3e-05,3e-05,3e-05,2e-05,2e-05,1e-05,2e-05,3e-05
