freq,unit,na_item,geo,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,CLV10_MEUR,B1G,SE,,,,,,,,,,,,,,,,,,,203087.4,211796.9,222077.4,226315.3,233667.9,243629.9,254040.6,267514.8,271069.1,277095.8,282459.5,295192.1,302959.4,317759.0,327961.0,324819.1,309968.1,328308.3,340262.6,338907.1,342643.9,350687.1,365697.7,372153.4,379639.8,386562.7,397430.6,388429.9,409269.3,415188.5,416536.5,420134.1
A,CLV10_MEUR,B1GQ,SE,,,,,,,,,,,,,,,,,,,235464.4,244920.1,254948.1,259294.2,267241.5,278588.2,290292.0,303735.8,307869.0,314881.4,320804.5,334212.7,343547.8,359612.3,371209.3,367782.7,352131.3,372381.5,384163.2,382571.3,386923.6,395806.5,413175.5,421981.0,429926.2,437536.9,448948.9,440267.2,463274.9,469091.0,468133.8,471972.8
A,CLV10_MEUR,D21,SE,,,,,,,,,,,,,,,,,,,34220.2,34933.1,34642.9,34829.0,35444.7,36781.6,38151.9,38198.5,38787.7,39837.9,40543.2,41314.7,42741.4,44044.2,45435.4,45254.9,44563.7,46525.2,46454.3,46187.7,46416.0,47463.6,50064.8,52450.8,53037.1,53708.9,54144.2,54567.7,56681.1,56767.6,54173.8,54376.4
A,CLV10_MEUR,D21X31,SE,,,,,,,,,,,,,,,,,,,32739.5,33468.7,33138.2,33214.5,33769.6,35158.2,36442.5,36250.5,36837.2,37836.0,38385.2,39000.5,40593.3,41838.1,43234.0,42952.9,42169.6,44073.2,43900.6,43664.2,44280.7,45118.9,47483.8,49870.0,50317.1,51002.3,51541.3,51879.8,54026.4,53900.5,51557.2,51791.6
A,CLV10_MEUR,D31,SE,,,,,,,,,,,,,,,,,,,1466.7,1454.9,1497.2,1601.8,1661.6,1606.6,1692.5,1946.8,1946.7,1997.9,2156.9,2310.9,2154.2,2211.6,2200.5,2304.6,2392.8,2452.1,2553.7,2522.8,2118.1,2331.6,2569.8,2563.7,2709.4,2690.1,2575.2,2664.9,2613.5,2865.4,2585.8,2544.3
A,CLV10_MEUR,P3,SE,,,,,,,,,,,,,,,,,,,194246.8,195984.2,197746.0,200501.4,204507.5,211512.0,218851.9,226690.6,227949.6,232992.3,235703.6,239614.1,244843.5,250721.1,258486.9,259446.0,263434.3,271523.9,275539.8,278539.9,283627.2,290061.4,300151.3,308283.8,313443.4,318053.4,319656.8,311733.5,326781.6,333340.1,331132.6,333836.5
A,CLV10_MEUR,P31_S13,SE,,,,,,,,,,,,,,,,,,,57516.7,57608.5,58891.3,59698.9,58809.9,61213.2,62078.2,61295.3,62462.9,63920.3,64180.7,63818.6,64376.0,65362.3,65633.9,66354.0,67774.1,68525.1,68849.3,68999.0,69625.3,70436.9,72399.1,75805.3,75674.5,75500.2,75443.1,73735.4,76319.4,76224.5,76186.8,76720.9
A,CLV10_MEUR,P31_S14,SE,,,,,,,,,,,,,,,,,,,110596.7,112685.1,114155.8,116744.5,120595.6,124720.1,130579.1,137763.2,138810.4,141823.1,143880.2,148125.8,152745.9,157194.5,164370.2,164286.1,166228.7,173039.1,176562.4,178645.9,182242.1,187360.8,195234.0,199634.9,204414.4,208445.4,210085.8,203648.7,215275.4,221504.7,217565.1,218855.1
A,CLV10_MEUR,P31_S14_S15,SE,,,,,,,,,,,,,,,,,,,114185.0,116228.3,117439.3,120067.0,124016.3,128170.1,133821.0,141964.9,143107.7,146287.9,148598.8,152831.0,157662.5,162149.0,169324.5,169306.6,171104.7,177905.9,181202.5,183249.9,186599.9,191999.4,200028.1,204346.3,209461.5,213414.3,215091.1,208643.5,220438.0,226560.6,222915.6,224297.7
A,CLV10_MEUR,P31_S15,SE,,,,,,,,,,,,,,,,,,,3717.4,3628.2,3259.3,3285.8,3379.7,3386.5,3099.6,4194.8,4298.7,4474.6,4746.9,4719.0,4935.8,4967.5,4957.2,5026.1,4876.8,4866.8,4640.1,4605.2,4368.0,4640.4,4798.4,4728.7,5049.0,4984.9,5021.7,4996.4,5176.4,5099.6,5349.7,5435.8
