freq,unit,na_item,geo,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,CLV10_EUR_HAB,B1GQ,SE,,,,,,,,,,,,,,,,,,,27020.0,27880.0,28870.0,29320.0,30210.0,31470.0,32770.0,34240.0,34600.0,35270.0,35810.0,37160.0,38060.0,39590.0,40590.0,39900.0,37880.0,39710.0,40660.0,40200.0,40310.0,40820.0,42160.0,42560.0,42750.0,43000.0,43650.0,42520.0,44480.0,44560.0,44170.0,44400.0
A,CLV10_EUR_HAB,P3,SE,,,,,,,,,,,,,,,,,,,22290.0,22310.0,22400.0,22680.0,23120.0,23890.0,24710.0,25550.0,25620.0,26100.0,26310.0,26640.0,27120.0,27600.0,28260.0,28150.0,28340.0,28960.0,29160.0,29270.0,29550.0,29910.0,30630.0,31090.0,31160.0,31260.0,31080.0,30110.0,31370.0,31660.0,31240.0,31400.0
A,CLV10_EUR_HAB,P31_S13,SE,,,,,,,,,,,,,,,,,,,6600.0,6560.0,6670.0,6750.0,6650.0,6920.0,7010.0,6910.0,7020.0,7160.0,7160.0,7100.0,7130.0,7200.0,7180.0,7200.0,7290.0,7310.0,7290.0,7250.0,7250.0,7260.0,7390.0,7650.0,7520.0,7420.0,7340.0,7120.0,7330.0,7240.0,7190.0,7220.0
A,CLV10_EUR_HAB,P31_S14,SE,,,,,,,,,,,,,,,,,,,12690.0,12830.0,12930.0,13200.0,13630.0,14090.0,14740.0,15530.0,15600.0,15890.0,16060.0,16470.0,16920.0,17310.0,17970.0,17820.0,17880.0,18450.0,18690.0,18770.0,18990.0,19320.0,19920.0,20130.0,20320.0,20490.0,20430.0,19670.0,20670.0,21040.0,20530.0,20590.0
A,CLV10_EUR_HAB,P31_S14_S15,SE,,,,,,,,,,,,,,,,,,,13100.0,13230.0,13300.0,13580.0,14020.0,14480.0,15110.0,16000.0,16090.0,16390.0,16590.0,16990.0,17470.0,17850.0,18510.0,18370.0,18410.0,18970.0,19180.0,19250.0,19440.0,19800.0,20410.0,20610.0,20830.0,20970.0,20910.0,20150.0,21160.0,21520.0,21030.0,21100.0
A,CLV10_EUR_HAB,P31_S15,SE,,,,,,,,,,,,,,,,,,,430.0,410.0,370.0,370.0,380.0,380.0,350.0,470.0,480.0,500.0,530.0,520.0,550.0,550.0,540.0,550.0,520.0,520.0,490.0,480.0,460.0,480.0,490.0,480.0,500.0,490.0,490.0,480.0,500.0,480.0,500.0,510.0
A,CLV10_EUR_HAB,P32_S13,SE,,,,,,,,,,,,,,,,,,,2840.0,2740.0,2650.0,2540.0,2600.0,2660.0,2720.0,2690.0,2560.0,2600.0,2600.0,2580.0,2540.0,2560.0,2570.0,2580.0,2640.0,2680.0,2700.0,2760.0,2860.0,2860.0,2850.0,2840.0,2840.0,2900.0,2880.0,2870.0,2950.0,3000.0,3090.0,3160.0
A,CLV10_EUR_HAB,P3_S13,SE,,,,,,,,,,,,,,,,,,,9460.0,9310.0,9330.0,9290.0,9250.0,9580.0,9730.0,9610.0,9580.0,9760.0,9760.0,9670.0,9670.0,9760.0,9750.0,9780.0,9930.0,9980.0,9980.0,10010.0,10110.0,10120.0,10230.0,10490.0,10360.0,10320.0,10210.0,9980.0,10260.0,10220.0,10260.0,10350.0
A,CLV10_EUR_HAB,P41,SE,,,,,,,,,,,,,,,,,,,19530.0,19640.0,19800.0,20170.0,20560.0,21280.0,22020.0,22890.0,23070.0,23510.0,23720.0,24070.0,24590.0,25040.0,25690.0,25560.0,25690.0,26280.0,26460.0,26500.0,26690.0,27050.0,27790.0,28250.0,28330.0,28360.0,28210.0,27240.0,28430.0,28660.0,28140.0,28240.0
A,CLV15_EUR_HAB,B1GQ,SE,,,,,,,,,,,,,,,,,,,29580.0,30520.0,31610.0,32100.0,33070.0,34460.0,35880.0,37480.0,37880.0,38620.0,39210.0,40680.0,41670.0,43340.0,44430.0,43680.0,41470.0,43480.0,44510.0,44010.0,44130.0,44690.0,46160.0,46590.0,46800.0,47080.0,47790.0,46550.0,48690.0,48780.0,48350.0,48600.0
A,CLV15_EUR_HAB,P3,SE,,,,,,,,,,,,,,,,,,,24510.0,24530.0,24620.0,24930.0,25420.0,26270.0,27170.0,28100.0,28170.0,28700.0,28930.0,29290.0,29820.0,30350.0,31080.0,30950.0,31160.0,31840.0,32060.0,32180.0,32490.0,32890.0,33680.0,34190.0,34270.0,34370.0,34180.0,33110.0,34500.0,34820.0,34350.0,34530.0
A,CLV15_EUR_HAB,P31_S13,SE,,,,,,,,,,,,,,,,,,,7820.0,7770.0,7900.0,8000.0,7870.0,8190.0,8300.0,8180.0,8310.0,8480.0,8480.0,8400.0,8450.0,8520.0,8500.0,8520.0,8630.0,8650.0,8630.0,8590.0,8590.0,8600.0,8750.0,9050.0,8910.0,8790.0,8690.0,8430.0,8680.0,8570.0,8510.0,8550.0
A,CLV15_EUR_HAB,P31_S14,SE,,,,,,,,,,,,,,,,,,,13480.0,13630.0,13740.0,14030.0,14480.0,14970.0,15660.0,16500.0,16580.0,16880.0,17060.0,17500.0,17980.0,18390.0,19090.0,18930.0,19000.0,19600.0,19850.0,19940.0,20170.0,20530.0,21170.0,21390.0,21590.0,21760.0,21700.0,20900.0,21960.0,22350.0,21810.0,21870.0
A,CLV15_EUR_HAB,P31_S14_S15,SE,,,,,,,,,,,,,,,,,,,13950.0,14080.0,14160.0,14450.0,14920.0,15410.0,16080.0,17030.0,17120.0,17440.0,17660.0,18090.0,18590.0,19000.0,19700.0,19550.0,19590.0,20190.0,20410.0,20490.0,20690.0,21070.0,21730.0,21930.0,22170.0,22320.0,22260.0,21450.0,22520.0,22910.0,22380.0,22460.0
A,CLV15_EUR_HAB,P31_S15,SE,,,,,,,,,,,,,,,,,,,490.0,470.0,420.0,420.0,440.0,440.0,400.0,540.0,550.0,570.0,600.0,600.0,620.0,620.0,620.0,620.0,600.0,590.0,560.0,550.0,520.0,550.0,560.0,540.0,570.0,560.0,560.0,550.0,570.0,550.0,580.0,580.0
A,CLV15_EUR_HAB,P32_S13,SE,,,,,,,,,,,,,,,,,,,3200.0,3090.0,2980.0,2860.0,2920.0,2990.0,3060.0,3030.0,2890.0,2930.0,2930.0,2900.0,2860.0,2880.0,2900.0,2910.0,2970.0,3010.0,3040.0,3110.0,3220.0,3220.0,3200.0,3200.0,3190.0,3270.0,3240.0,3230.0,3320.0,3380.0,3480.0,3550.0
